# Acc1	amplitude
# "Acc1"	"amplitude"
# 875
0	2.0611536181902e-17
0.8	2.14527089289753e-17
1.6	2.23282105869359e-17
2.4	2.32394421452018e-17
3.2	2.41878617686526e-17
4	2.51749871310048e-17
4.8	2.62023978434124e-17
5.6	2.72717379821828e-17
6.4	2.83847187196484e-17
7.2	2.95431210624082e-17
8	3.07487987013172e-17
8.8	3.20036809777877e-17
9.6	3.3309775971147e-17
10.4	3.46691737119914e-17
11.2	3.60840495266829e-17
12	3.75566675183326e-17
12.8	3.90893841898507e-17
13.6	4.06846522148518e-17
14.4	4.23450243624571e-17
15.2	4.40731575822681e-17
16	4.58718172560527e-17
16.8	4.77438816229461e-17
17.6	4.96923463852459e-17
18.4	5.17203295021753e-17
19.2	5.3831076179282e-17
20	5.60279640614594e-17
20.8	5.83145086378969e-17
21.6	6.0694368867614e-17
22.4	6.3171353034572e-17
23.2	6.5749424841743e-17
24	6.84327097538763e-17
24.8	7.12255015991231e-17
25.6	7.41322694400762e-17
26.4	7.71576647252209e-17
27.2	8.03065287322466e-17
28	8.35839003151192e-17
28.8	8.69950239673238e-17
29.6	9.0545358214169e-17
30.4	9.42405843475922e-17
31.2	9.8086615517436e-17
32	1.02089606193747e-16
32.8	1.0625596201524e-16
33.6	1.10592350039682e-16
34.4	1.15105709412606e-16
35.2	1.1980326247142e-16
36	1.24692526302687e-16
36.8	1.29781324771061e-16
37.6	1.35077801039138e-16
38.4	1.40590430598249e-16
39.2	1.46328034831047e-16
40	1.52299795127603e-16
40.8	1.58515267577578e-16
41.6	1.64984398262003e-16
42.4	1.7171753916912e-16
43.2	1.78725464759774e-16
44	1.86019389208834e-16
44.8	1.9361098435026e-16
45.6	2.01512398354521e-16
46.4	2.09736275168249e-16
47.2	2.18295774747243e-16
48	2.27204594115193e-16
48.8	2.36476989281831e-16
49.6	2.46127798055574e-16
50.4	2.56172463787173e-16
51.2	2.66627060082351e-16
52	2.77508316522988e-16
52.8	2.88833645438005e-16
53.6	3.00621169766781e-16
54.4	3.12889752059713e-16
55.2	3.25659024662291e-16
56	3.38949421131021e-16
56.8	3.52782208931443e-16
57.6	3.67179523470596e-16
58.4	3.82164403518354e-16
59.2	3.97760828074346e-16
60	4.13993754739433e-16
60.8	4.30889159653158e-16
61.6	4.48474079061074e-16
62.4	4.66776652578451e-16
63.2	4.85826168219635e-16
64	5.05653109265044e-16
64.8	5.26289203040883e-16
65.6	5.47767471689568e-16
66.4	5.70122285012126e-16
67.2	5.93389415467159e-16
68	6.17606095414305e-16
68.8	6.42811076693898e-16
69.6	6.69044692638072e-16
70.4	6.96348922612613e-16
71.2	7.24767459192785e-16
72	7.54345778080664e-16
72.8	7.85131210875837e-16
73.6	8.17173020815916e-16
74.4	8.50522481608098e-16
75.2	8.85232959477869e-16
76	9.21359998566181e-16
76.8	9.58961409811733e-16
77.6	9.98097363460624e-16
78.4	1.03883048535135e-15
79.2	1.08122595712928e-15
80	1.12535162055095e-15
80.8	1.17127808604503e-15
81.6	1.21907884570381e-15
82.4	1.26883039088592e-15
83.2	1.32061233461841e-15
84	1.37450753899427e-15
84.8	1.43060224776898e-15
85.6	1.48898622436851e-15
86.4	1.54975289552945e-15
87.2	1.61299950080123e-15
88	1.67882724814952e-15
88.8	1.74734147591e-15
89.6	1.81865182135149e-15
90.4	1.89287239611823e-15
91.2	1.9701219688321e-15
92	2.05052415514691e-15
92.8	2.13420761555886e-15
93.6	2.22130626128982e-15
94.4	2.3119594685728e-15
95.2	2.40631230168243e-15
96	2.50451574506755e-15
96.8	2.60672694495711e-15
97.6	2.71310946082622e-15
98.4	2.82383352712458e-15
99.2	2.93907632568621e-15
100	3.05902226925625e-15
100.8	3.18386329658866e-15
101.6	3.31379917958702e-15
102.4	3.44903784297971e-15
103.2	3.58979569704135e-15
104	3.73629798389248e-15
104.8	3.88877913793202e-15
105.6	4.04748316097902e-15
106.4	4.21266401272404e-15
107.2	4.38458601711502e-15
108	4.56352428532765e-15
108.8	4.74976515599755e-15
109.6	4.94360665341819e-15
110.4	5.14535896443795e-15
111.2	5.35534493481963e-15
112	5.57390058585609e-15
112.8	5.80137565206938e-15
113.6	6.03813414085316e-15
114.4	6.28455491495428e-15
115.2	6.54103229872534e-15
116	6.80797670911849e-15
116.8	7.08581531242993e-15
117.6	7.3749927078462e-15
118.4	7.67597163888585e-15
119.2	7.989233733875e-15
120	8.31528027664132e-15
120.8	8.65463300866015e-15
121.6	9.0078349639358e-15
122.4	9.37545133795399e-15
123.2	9.75807039209624e-15
124	1.01563043949625e-14
124.8	1.05707906021094e-14
125.6	1.10021922757701e-14
126.4	1.14511997461898e-14
127.2	1.1918531516272e-14
128	1.24049354113058e-14
128.8	1.29111897756123e-14
129.6	1.34381047180251e-14
130.4	1.39865234081979e-14
131.2	1.45573234258132e-14
132	1.51514181648505e-14
132.8	1.57697582951617e-14
133.6	1.64133332836912e-14
134.4	1.70831729777757e-14
135.2	1.77803492530552e-14
136	1.85059777286345e-14
136.8	1.92612195522365e-14
137.6	2.00472832582055e-14
138.4	2.08654267013322e-14
139.2	2.17169590695948e-14
140	2.26032429790358e-14
140.8	2.35256966541272e-14
141.6	2.44857961971115e-14
142.4	2.54850779499488e-14
143.2	2.65251409526506e-14
144	2.76076495019305e-14
144.8	2.87343358142688e-14
145.6	2.99070027976472e-14
146.4	3.11275269363915e-14
147.2	3.2397861293735e-14
148	3.37200386369078e-14
148.8	3.50961746897492e-14
149.6	3.65284715180486e-14
150.4	3.80192210530297e-14
151.2	3.95708087586131e-14
152	4.11857174483263e-14
152.8	4.28665312579648e-14
153.6	4.46159397803592e-14
154.4	4.64367423688632e-14
155.2	4.83318526164459e-14
156	5.03043030175512e-14
156.8	5.23572498201849e-14
157.6	5.44939780759852e-14
158.4	5.67179068963589e-14
159.2	5.90325949230864e-14
160	6.14417460221472e-14
160.8	6.39492152098718e-14
161.6	6.65590148208977e-14
162.4	6.9275320927793e-14
163.2	7.21024800226173e-14
164	7.50450159711e-14
164.8	7.81076372505628e-14
165.6	8.12952444831549e-14
166.4	8.46129382764523e-14
167.2	8.80660273839553e-14
168	9.16600371985332e-14
168.8	9.54007185923987e-14
169.6	9.92940571177431e-14
170.4	1.03346282582745e-13
171.2	1.07563879018261e-13
172	1.11953595051133e-13
172.8	1.16522454700696e-13
173.6	1.21277768615744e-13
174.4	1.26227145769914e-13
175.2	1.31378505634194e-13
176	1.36740090845997e-13
176.8	1.42320480395057e-13
177.6	1.48128603347224e-13
178.4	1.54173753128081e-13
179.2	1.60465602389226e-13
180	1.67014218480952e-13
180.8	1.73830079556069e-13
181.6	1.80924091330591e-13
182.4	1.8830760452806e-13
183.2	1.95992433035389e-13
184	2.03990872799214e-13
184.8	2.12315721492952e-13
185.6	2.20980298985972e-13
186.4	2.29998468647563e-13
187.2	2.39384659519744e-13
188	2.49153889394299e-13
188.8	2.593217888309e-13
189.6	2.6990462615466e-13
190.4	2.80919333473022e-13
191.2	2.92383533753526e-13
192	3.04315569005653e-13
192.8	3.16734529611748e-13
193.6	3.29660284853802e-13
194.4	3.43113514684832e-13
195.2	3.57115742795525e-13
196	3.71689371028894e-13
196.8	3.86857715197867e-13
197.6	4.02645042362893e-13
198.4	4.1907660962904e-13
199.2	4.36178704524425e-13
200	4.53978687024344e-13
200.8	4.72505033288101e-13
201.6	4.91787381178214e-13
202.4	5.11856577634539e-13
203.2	5.32744727978787e-13
204	5.54485247227949e-13
204.8	5.77112913498371e-13
205.6	6.00663923585477e-13
206.4	6.25175950807634e-13
207.2	6.50688205206229e-13
208	6.77241496197701e-13
208.8	7.04878297777252e-13
209.6	7.3364281637788e-13
210.4	7.63581061492676e-13
211.2	7.9474091917262e-13
212	8.27172228516664e-13
212.8	8.6092686127566e-13
213.6	8.96058804696513e-13
214.4	9.32624247738131e-13
215.2	9.70681670795996e-13
216	1.01029193907773e-12
216.8	1.05151839977774e-12
217.6	1.09442698320505e-12
218.4	1.13908630802462e-12
219.2	1.18556779077876e-12
220	1.23394575986232e-12
220.8	1.2842975741318e-12
221.6	1.33670374633635e-12
222.4	1.39124807156558e-12
223.2	1.4480177609175e-12
224	1.50710358059757e-12
224.8	1.56859999666872e-12
225.6	1.63260532568057e-12
226.4	1.69922189141574e-12
227.2	1.76855618800013e-12
228	1.84071904963424e-12
228.8	1.91582582721282e-12
229.6	1.99399657211071e-12
230.4	2.07535622742381e-12
231.2	2.16003482696581e-12
232	2.24816770233295e-12
232.8	2.33989569836177e-12
233.6	2.43536539731753e-12
234.4	2.53472935216451e-12
235.2	2.63814632928312e-12
236	2.74578156101332e-12
236.8	2.85780700841879e-12
237.6	2.97440163468183e-12
238.4	3.09575168955516e-12
239.2	3.22205100531344e-12
240	3.35350130466478e-12
240.8	3.49031252110061e-12
241.6	3.63270313218078e-12
242.4	3.78090050627038e-12
243.2	3.93514126326483e-12
244	4.0956716498605e-12
244.8	4.26274792995001e-12
245.6	4.43663679074351e-12
246.4	4.61761576524075e-12
247.2	4.80597367170261e-12
248	5.00201107079564e-12
248.8	5.20604074110943e-12
249.6	5.4183881737727e-12
250.4	5.63939208692237e-12
251.2	5.86940496080803e-12
252	6.10879359434401e-12
252.8	6.35793968395229e-12
253.6	6.61724042557045e-12
254.4	6.88710914073256e-12
255.2	7.16797592766405e-12
256	7.46028833836697e-12
256.8	7.76451208270844e-12
257.6	8.08113176056173e-12
258.4	8.41065162308882e-12
259.2	8.75359636429236e-12
260	9.11051194400646e-12
260.8	9.48196644353725e-12
261.6	9.86855095520909e-12
262.4	1.02708805071152e-11
263.2	1.06895950244196e-11
264	1.11253603286032e-11
264.8	1.15788691760962e-11
265.6	1.20508423377895e-11
266.4	1.25420297209689e-11
267.2	1.30532115352677e-11
268	1.35851995042896e-11
268.8	1.41388381246065e-11
269.6	1.47150059738953e-11
270.4	1.53146170700329e-11
271.2	1.59386222830301e-11
272	1.65880108017442e-11
272.8	1.72638116573715e-11
273.6	1.79670953057845e-11
274.4	1.86989752708405e-11
275.2	1.94606098508556e-11
276	2.02532038904988e-11
276.8	2.10780106204325e-11
277.6	2.19363335670875e-11
278.4	2.28295285350307e-11
279.2	2.37590056644498e-11
280	2.47262315663477e-11
280.8	2.57327315381037e-11
281.6	2.67800918621312e-11
282.4	2.78699621904228e-11
283.2	2.9004058017842e-11
