# VBias1	amplitude
# "VBias1"	"amplitude"
# 40
-100	-0.0099999968161367
-95	-0.00949999697532987
-90	-0.00899999713452303
-85	-0.0084999972937162
-80	-0.00799999745290936
-75	-0.00749999761210253
-70	-0.00699999777129569
-65	-0.00649999793048886
-60	-0.00599999808968202
-55	-0.00549999824887519
-50	-0.00499999840806835
-45	-0.00449999856726152
-40	-0.00399999872645468
-35	-0.00349999888564785
-30	-0.00299999904484101
-25	-0.00249999920403418
-20	-0.00199999936322734
-15	-0.00149999952242051
-10	-0.00099999968161367
-5	-0.000499999840806835
0	0
5	0.000499999840806835
10	0.00099999968161367
15	0.00149999952242051
20	0.00199999936322734
25	0.00249999920403418
30	0.00299999904484101
35	0.00349999888564785
40	0.00399999872645468
45	0.00449999856726152
50	0.00499999840806835
55	0.00549999824887519
60	0.00599999808968202
65	0.00649999793048886
70	0.00699999777129569
75	0.00749999761210253
80	0.00799999745290936
85	0.0084999972937162
90	0.00899999713452303
95	0.00949999697532987
